,,2021-10-04 12:58:08.578702
ACCIONA,"-1,18",2021-10-04 12:58:08.582702
ACERINOX,"-1,04",2021-10-04 12:58:08.584702
ACS,"-0,39",2021-10-04 12:58:08.589702
AENA,"-0,80",2021-10-04 12:58:08.591702
ALMIRALL,"-0,52",2021-10-04 12:58:08.593703
AMADEUS,"0,55",2021-10-04 12:58:08.595703
ARCELORMIT.,"-1,85",2021-10-04 12:58:08.596703
B.SANTANDER,"0,05",2021-10-04 12:58:08.599703
BA.SABADELL,"-0,23",2021-10-04 12:58:08.602703
BANKINTER,"-0,16",2021-10-04 12:58:08.605703
BBVA,"0,02",2021-10-04 12:58:08.607703
CAIXABANK,"-0,87",2021-10-04 12:58:08.608703
CELLNEX,"0,41",2021-10-04 12:58:08.611704
CIE AUTOMOT.,"-0,37",2021-10-04 12:58:08.613704
ENAGAS,"0,78",2021-10-04 12:58:08.617704
ENDESA,"-0,06",2021-10-04 12:58:08.619704
FERROVIAL,"1,57",2021-10-04 12:58:08.622704
FLUIDRA,"-2,07",2021-10-04 12:58:08.624704
GRIFOLS CL.A,"2,55",2021-10-04 12:58:08.627705
IAG,"0,46",2021-10-04 12:58:08.629705
IBERDROLA,"-1,03",2021-10-04 12:58:08.632705
INDITEX,"-1,16",2021-10-04 12:58:08.634705
INDRA A,"-1,80",2021-10-04 12:58:08.637705
INM.COLONIAL,"-1,06",2021-10-04 12:58:08.639705
MAPFRE,"-1,83",2021-10-04 12:58:08.642705
MELIA HOTELS,"-0,44",2021-10-04 12:58:08.644705
MERLIN,"-1,14",2021-10-04 12:58:08.646706
NATURGY,"-0,05",2021-10-04 12:58:08.648706
PHARMA MAR,"-1,03",2021-10-04 12:58:08.651706
R.E.C.,"1,12",2021-10-04 12:58:08.654706
REPSOL,"2,81",2021-10-04 12:58:08.657706
SIEMENS GAME,"-2,62",2021-10-04 12:58:08.659706
SOLARIA,"0,86",2021-10-04 12:58:08.661706
TELEFONICA,"1,59",2021-10-04 12:58:08.663707
VISCOFAN,"-0,27",2021-10-04 12:58:08.667707
VISCOFAN,"-0,27",2021-10-04 13:00:05.120368
VISCOFAN,"-0,27",2021-10-04 13:00:14.307893
